"","GEOID","NAME","pop","blk_tot","wht_tot","hsp_tot","aapi_tot","hhs","renter_hh","owner_hh","med_inc","year","pct_wht","pct_blk","pct_hsp","pct_aapi","rent_pct","tract"
"149",42101027700,"Census Tract 277, Philadelphia County, Pennsylvania",4935,4448,76,23,133,2195,408,1629,20570,2020,1.54002026342452,90.1317122593718,0.466058763931104,2.69503546099291,18.5876993166287,"027700"
"150",42101027902,"Census Tract 279.02, Philadelphia County, Pennsylvania",4557,2646,1416,339,198,989,613,451,10365,2020,31.0730743910467,58.0645161290323,7.43910467412771,4.3449637919684,61.9817997977755,"027902"
"151",42101029200,"Census Tract 292, Philadelphia County, Pennsylvania",4881,2224,867,1718,263,1322,240,1694,19342,2020,17.7627535341119,45.5644335177218,35.1977053882401,5.38824011473059,18.1543116490166,"029200"
"152",42101030100,"Census Tract 301, Philadelphia County, Pennsylvania",6225,3258,1280,1749,457,2194,939,1292,22607,2020,20.5622489959839,52.3373493975904,28.0963855421687,7.34136546184739,42.7985414767548,"030100"
"153",42101030700,"Census Tract 307, Philadelphia County, Pennsylvania",4421,1982,1575,871,282,1641,1234,879,30119,2020,35.6254241121918,44.8314860891201,19.7014250169645,6.37864736484958,75.1980499695308,"030700"
"154",42101031401,"Census Tract 314.01, Philadelphia County, Pennsylvania",7691,1443,2961,1829,1485,1988,2033,1164,19350,2020,38.4995449226368,18.7621895722273,23.7810427772721,19.3082824080094,102.263581488934,"031401"
"155",42101032000,"Census Tract 320, Philadelphia County, Pennsylvania",7941,1133,5092,2155,216,2473,969,1928,28109,2020,64.1229064349578,14.2677244679511,27.1376400957058,2.72006044578768,39.1831783259199,"032000"
"156",42101032900,"Census Tract 329, Philadelphia County, Pennsylvania",3695,658,2112,866,412,1748,735,770,25087,2020,57.1583220568336,17.807848443843,23.4370771312585,11.1502029769959,42.0480549199085,"032900"
"157",42101033400,"Census Tract 334, Philadelphia County, Pennsylvania",5551,1305,2638,330,1328,1974,749,1467,25009,2020,47.5229688344442,23.5092776076383,5.94487479733381,23.9236173662403,37.9432624113475,"033400"
"158",42101033701,"Census Tract 337.01, Philadelphia County, Pennsylvania",7661,1541,4554,1669,872,2446,1841,1364,24763,2020,59.4439368228691,20.1148675107688,21.7856676674063,11.3823260670931,75.2657399836468,"033701"
"159",42101033900,"Census Tract 339, Philadelphia County, Pennsylvania",2893,769,1740,177,235,1347,377,954,34522,2020,60.1451780159004,26.581403387487,6.11821638437608,8.12305565157276,27.9881217520416,"033900"
"160",42101034000,"Census Tract 340, Philadelphia County, Pennsylvania",3055,246,2558,468,234,1171,129,1444,45583,2020,83.7315875613748,8.05237315875614,15.3191489361702,7.65957446808511,11.0162254483348,"034000"
"161",42101034600,"Census Tract 346, Philadelphia County, Pennsylvania",2617,770,1280,642,208,1180,945,378,28092,2020,48.9109667558273,29.4230034390523,24.5319067634696,7.94803209782193,80.0847457627119,"034600"
"162",42101034802,"Census Tract 348.02, Philadelphia County, Pennsylvania",5765,1707,3702,716,0,2266,1223,1340,33760,2020,64.2150910667823,29.6097137901128,12.419774501301,0,53.9717563989409,"034802"
"163",42101035500,"Census Tract 355, Philadelphia County, Pennsylvania",7717,489,5838,259,706,2967,738,2352,34410,2020,75.6511597771155,6.33665932357134,3.35622651289361,9.14863288842815,24.8736097067745,"035500"
"164",42101035602,"Census Tract 356.02, Philadelphia County, Pennsylvania",3602,45,2578,273,912,1258,217,1448,35058,2020,71.5713492504164,1.24930594114381,7.57912270960577,25.3192670738479,17.2496025437202,"035602"
"165",42101035800,"Census Tract 358, Philadelphia County, Pennsylvania",6652,326,4434,238,1323,2242,400,2227,29630,2020,66.65664461816,4.90078171978352,3.57787131689717,19.8887552615755,17.8412132024978,"035800"
"166",42101036202,"Census Tract 362.02, Philadelphia County, Pennsylvania",6171,378,4981,444,574,2328,421,2500,39750,2020,80.7162534435262,6.12542537676228,7.19494409333982,9.30157186841679,18.0841924398625,"036202"
"167",42101001800,"Census Tract 18, Philadelphia County, Pennsylvania",3081,542,2281,47,173,1593,1127,907,61928,2020,74.0344044141512,17.5916910094125,1.52547874066861,5.61506004543979,70.7470182046453,"001800"
"168",42101002400,"Census Tract 24, Philadelphia County, Pennsylvania",4892,392,3790,473,465,2446,1769,1401,41800,2020,77.4734260016353,8.0130825838103,9.66884709730172,9.50531479967294,72.3221586263287,"002400"
"169",42101002701,"Census Tract 27.01, Philadelphia County, Pennsylvania",4098,428,2864,785,429,1784,1178,1248,41288,2020,69.8877501220107,10.4441190824793,19.1556857003416,10.4685212298682,66.0313901345291,"002701"
"170",42101035301,"Census Tract 353.01, Philadelphia County, Pennsylvania",5487,130,4640,737,127,2067,619,2399,39902,2020,84.5635137597959,2.36923637689083,13.4317477674503,2.31456169127028,29.9467827769715,"035301"
"171",42101004002,"Census Tract 40.02, Philadelphia County, Pennsylvania",5247,199,4205,86,569,2248,877,1930,35750,2020,80.1410329712216,3.79264341528493,1.63903182771107,10.8442919763674,39.0124555160142,"004002"
"172",42101005500,"Census Tract 55, Philadelphia County, Pennsylvania",6172,4726,878,438,120,2593,1327,1539,26988,2020,14.2255346727155,76.5716137394686,7.09656513285807,1.94426441996111,51.1762437331276,"005500"
"173",42101006500,"Census Tract 65, Philadelphia County, Pennsylvania",3867,3797,15,0,0,1552,574,836,25591,2020,0.387897595034911,98.1898112231704,0,0,36.9845360824742,"006500"
"174",42101007102,"Census Tract 71.02, Philadelphia County, Pennsylvania",4476,4042,241,368,0,1587,599,888,16959,2020,5.38427167113494,90.3038427167113,8.22162645218945,0,37.7441713925646,"007102"
"175",42101008200,"Census Tract 82, Philadelphia County, Pennsylvania",6202,5904,207,316,0,2648,1039,1343,25330,2020,3.33763302160593,95.1950983553692,5.09513060303128,0,39.2371601208459,"008200"
"176",42101008400,"Census Tract 84, Philadelphia County, Pennsylvania",4864,4264,67,44,44,1665,820,1229,22314,2020,1.37746710526316,87.6644736842105,0.904605263157895,0.904605263157895,49.2492492492492,"008400"
"177",42101009300,"Census Tract 93, Philadelphia County, Pennsylvania",4890,4282,236,152,212,1991,586,1263,21586,2020,4.82617586912065,87.5664621676892,3.10838445807771,4.33537832310838,29.4324460070316,"009300"
"178",42101036600,"Census Tract 366, Philadelphia County, Pennsylvania",2132,140,1658,370,151,1134,940,510,93367,2020,77.7673545966229,6.56660412757974,17.3545966228893,7.08255159474672,82.8924162257496,"036600"
"179",42101001600,"Census Tract 16, Philadelphia County, Pennsylvania",2481,123,2174,100,99,1219,954,760,65658,2020,87.6259572752922,4.95767835550181,4.03063280935107,3.99032648125756,78.2608695652174,"001600"
"180",42101980600,"Census Tract 9806, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,NA,2020,NA,NA,NA,NA,NA,"980600"
"181",42101037800,"Census Tract 378, Philadelphia County, Pennsylvania",2352,26,2155,158,31,1150,713,763,48638,2020,91.6241496598639,1.10544217687075,6.71768707482993,1.31802721088435,62,"037800"
"182",42101023100,"Census Tract 231, Philadelphia County, Pennsylvania",1286,22,1225,48,4,525,212,454,57073,2020,95.2566096423017,1.71073094867807,3.73250388802488,0.31104199066874,40.3809523809524,"023100"
"183",42101989100,"Census Tract 9891, Philadelphia County, Pennsylvania",1631,1189,291,243,37,0,0,0,11157,2020,17.841814837523,72.9000613120785,14.8988350705089,2.26854690374004,NA,"989100"
"184",42101011700,"Census Tract 117, Philadelphia County, Pennsylvania",1956,731,876,38,293,326,57,361,18516,2020,44.7852760736196,37.3721881390593,1.94274028629857,14.9795501022495,17.4846625766871,"011700"
"185",42101014800,"Census Tract 148, Philadelphia County, Pennsylvania",722,569,19,12,99,364,131,70,10571,2020,2.63157894736842,78.808864265928,1.66204986149584,13.7119113573407,35.989010989011,"014800"
"186",42101033200,"Census Tract 332, Philadelphia County, Pennsylvania",2951,131,1652,449,858,1029,268,1095,33068,2020,55.9810233819044,4.43917316164012,15.2151812944764,29.0748898678414,26.044703595724,"033200"
"187",42101023500,"Census Tract 235, Philadelphia County, Pennsylvania",1358,468,859,1,1,587,194,454,43472,2020,63.2547864506627,34.4624447717231,0.0736377025036819,0.0736377025036819,33.0494037478705,"023500"
